	Command	Key	Touch Bar
	Quantize 1/16 Swing D		
	Quantize 1/16 Swing E		
	Quantize 1/16 Swing F		
	Quantize 1/8 Swing A		
	Quantize 1/8 Swing B		
	Quantize 1/8 Swing C		
	Quantize 1/8 Swing D		
	Quantize 1/8 Swing E		
	Quantize 1/8 Swing F		
	Quantize 5-Tuplet/4		
	Quantize 5-Tuplet/8		
	Quantize 7-Tuplet		
	Quantize 9-Tuplet		
	Quantize 1/16 & 1/16 Triplet		
	Quantize 1/16 & 1/8 Triplet		
	Quantize 1/8 & 1/8 Triplet		
	Delete Duplicated MIDI Events		
	Delete MIDI Events Inside Locators		
	Delete MIDI Events Outside Locators		
	Delete MIDI Events Outside Region Boundaries		
	Delete Similar Regions/Events		
	Delete but Keep Similar Regions/Events		
	Delete and Select Next Region/Event		
	Paste at Original Position	⌘B	
	Paste Replace		
	Delete Unselected MIDI Events Within Selection		
	Repeat Regions/Cells/Events	⌘R	⌘5⃣
	Repeat Regions/Events Multiple Times…		
	Repeat Regions/Events as Alias		
	Set Optimal Region/Cell Lengths Rounded by Bar	⌃\	
	Set Optimal Region/Cell Lengths Rounded by Note Value		
	Double Region/Cell/Event Length		
	Halve Region/Cell/Event Length		
	Change Region/Cell/Event Length…		
	Copy MIDI Events…		
	Refresh Region	⇧⌘R	
	Convert to MIDI Region/Cell	⌃⌥⌘M	
	Convert to Drummer Region/Cell		
	Convert to Pattern Region/Cell		
	Separate Pattern Region/Cell by Kit Piece		
	Join Regions/Notes	⌘J	⌘4⃣
	Split Regions/Events at Locators or Marquee Selection	⌃⌘T	⌘2⃣
	Split Regions/Events at Rounded Playhead Position		
	Split Regions/Events at Playhead Position	T	⌘1⃣
	Transpose Region/Event +1 Semitone or Nudge Automation up 1 Step	⌥↑	
	Transpose Region/Event -1 Semitone or Nudge Automation down 1 Step	⌥↓	
	Transpose Region/Event +12 Semitones or Nudge Automation up 10 Steps	⌥⇧↑	
	Transpose Region/Event -12 Semitones or Nudge Automation down 10 Steps	⌥⇧↓	
	Move Region/Event to Playhead Position (Pickup Clock)	;	
	Move Region/Event to Playhead Position and Select Next Region/Event (Pickup Clock+)	⇧;	
	Set Region/Event/Marquee Start to Playhead Position	⌘[	
	Set Region/Event/Marquee End to Playhead Position	⌘]	
	Nudge Region/Event Position Right by Nudge Value		
	Nudge Region/Event Position Left by Nudge Value		
	Nudge Region/Event Position Right by Tick		
	Nudge Region/Event Position Left by Tick		
	Nudge Region/Event Position Right by Division	⌥→	
	Nudge Region/Event Position Left by Division	⌥←	
	Nudge Region/Event Position Right by Beat		
	Nudge Region/Event Position Left by Beat		
	Nudge Region/Event Position Right by Bar		
	Nudge Region/Event Position Left by Bar		
	Nudge Region/Event Position Right by SMPTE Frame		
	Nudge Region/Event Position Left by SMPTE Frame		
	Nudge Region/Event Position Right by SMPTE Bit		
	Nudge Region/Event Position Left by SMPTE Bit		
	Nudge Region/Event Position Right by 1/2 SMPTE Frame		
	Nudge Region/Event Position Left by 1/2 SMPTE Frame		
	Nudge Region/Event Position Right by 5 SMPTE Frames		
	Nudge Region/Event Position Left by 5 SMPTE Frames		
	Nudge Region/Event Position Right by Sample		
	Nudge Region/Event Position Left by Sample		
	Nudge Region/Event Position Right by 1 ms		
	Nudge Region/Event Position Left by 1 ms		
	Nudge Region/Event Position Right by 10 ms		
	Nudge Region/Event Position Left by 10 ms		
	Nudge Region/Event Length Right by Nudge Value		
	Nudge Region/Event Length Left by Nudge Value		
	Nudge Region/Event Length Right by Tick		
	Nudge Region/Event Length Left by Tick		
	Nudge Region/Event Length Right by Division	⌥⇧→	
	Nudge Region/Event Length Left by Division	⌥⇧←	
	Nudge Region/Event Length Right by Beat		
	Nudge Region/Event Length Left by Beat		
	Nudge Region/Event Length Right by Bar		
	Nudge Region/Event Length Left by Bar		
	Nudge Region/Event Length Right by SMPTE Frame		
	Nudge Region/Event Length Left by SMPTE Frame		
	Nudge Region/Event Length Right by SMPTE Bit		
	Nudge Region/Event Length Left by SMPTE Bit		
	Nudge Region/Event Length Right by 1/2 SMPTE Frame		
	Nudge Region/Event Length Left by 1/2 SMPTE Frame		
	Nudge Region/Event Length Right by 5 SMPTE Frames		
	Nudge Region/Event Length Left by 5 SMPTE Frames		
	Nudge Region/Event Length Right by Sample		
	Nudge Region/Event Length Left by Sample		
	Nudge Region/Event Length Right by 1 ms		
	Nudge Region/Event Length Left by 1 ms		
	Nudge Region/Event Length Right by 10 ms		
	Nudge Region/Event Length Left by 10 ms		
	Slip Right by Nudge Value	⌃⌥→	
	Slip Left by Nudge Value	⌃⌥←	
	Rotate Right by Nudge Value	⌃⌥⌘→	
	Rotate Left by Nudge Value	⌃⌥⌘←	
	Apply Transform User Preset  1 to selected Events		
	Apply Transform User Preset  2 to selected Events		
	Apply Transform User Preset  3 to selected Events		
	Apply Transform User Preset  4 to selected Events		
	Apply Transform User Preset  5 to selected Events		
	Apply Transform User Preset  6 to selected Events		
	Apply Transform User Preset  7 to selected Events		
	Apply Transform User Preset  8 to selected Events		
	Apply Transform User Preset  9 to selected Events		
	Apply Transform User Preset 10 to selected Events		
	Apply Transform User Preset 11 to selected Events		
	Apply Transform User Preset 12 to selected Events		
	Apply Transform User Preset 13 to selected Events		
	Apply Transform User Preset 14 to selected Events		
	Apply Transform User Preset 15 to selected Events		
	Apply Transform User Preset 16 to selected Events		
	Apply Transform User Preset 17 to selected Events		
	Apply Transform User Preset 18 to selected Events		
	Apply Transform User Preset 19 to selected Events		
	Apply Transform User Preset 20 to selected Events		
	Apply Transform User Preset 21 to selected Events		
	Apply Transform User Preset 22 to selected Events		
	Apply Transform User Preset 23 to selected Events		
	Apply Transform User Preset 24 to selected Events		
	Apply Transform User Preset 25 to selected Events		
	Apply Transform User Preset 26 to selected Events		
	Apply Transform User Preset 27 to selected Events		
	Apply Transform User Preset 28 to selected Events		
	Apply Transform User Preset 29 to selected Events		
	Apply Transform User Preset 30 to selected Events		
	Select And Operate using Transform User Preset  1		
	Select And Operate using Transform User Preset  2		
	Select And Operate using Transform User Preset  3		
	Select And Operate using Transform User Preset  4		
	Select And Operate using Transform User Preset  5		
	Select And Operate using Transform User Preset  6		
	Select And Operate using Transform User Preset  7		
	Select And Operate using Transform User Preset  8		
	Select And Operate using Transform User Preset  9		
	Select And Operate using Transform User Preset 10		
	Select And Operate using Transform User Preset 11		
	Select And Operate using Transform User Preset 12		
	Select And Operate using Transform User Preset 13		
	Select And Operate using Transform User Preset 14		
	Select And Operate using Transform User Preset 15		
	Select And Operate using Transform User Preset 16		
	Select And Operate using Transform User Preset 17		
	Select And Operate using Transform User Preset 18		
	Select And Operate using Transform User Preset 19		
	Select And Operate using Transform User Preset 20		
	Select And Operate using Transform User Preset 21		
	Select And Operate using Transform User Preset 22		
	Select And Operate using Transform User Preset 23		
	Select And Operate using Transform User Preset 24		
	Select And Operate using Transform User Preset 25		
	Select And Operate using Transform User Preset 26		
	Select And Operate using Transform User Preset 27		
	Select And Operate using Transform User Preset 28		
	Select And Operate using Transform User Preset 29		
	Select And Operate using Transform User Preset 30		
	Open Track Stack	⌃⌘→	
	Close Track Stack	⌃⌘←	
	Open/Close Track Stack		
	Open/Close All Track Stacks		
	Mute Notes/Regions/Cells/Folders On/Off	⇧M	
	Unlock SMPTE Position	⌘⇞	
	Lock SMPTE Position	⌘⇟	
	Lock/Unlock SMPTE Position		
	Convert to Scene Marker		
	Convert to Standard Marker		
	Snap Mode: Smart		
	Snap Mode: Bar		
	Snap Mode: Beat		
	Snap Mode: Division		
	Snap Mode: Ticks		
	Snap Mode: 1/1 Note		
	Snap Mode: 1/2 Note		
	Snap Mode: 1/4 Note		
	Snap Mode: 1/8 Note		
	Snap Mode: 1/16 Note		
	Snap Mode: 1/32 Note		
	Snap Mode: 1/64 Note		
	Snap Mode: 1/2 Triplet (1/3)		
	Snap Mode: 1/4 Triplet (1/6)		
	Snap Mode: 1/8 Triplet (1/12)		
	Snap Mode: 1/16 Triplet (1/24)		
	Snap Mode: 1/32 Triplet (1/48)		
	Snap Mode: 1/64 Triplet (1/96)		
	Snap Mode: Frames		
	Snap Mode: Quarter Frames		
	Snap Mode: Samples		
	Snap Mode: Off		
	Toggle Snap to Grid	⌘G	
	Toggle Snap Quick Swipe Comping		
	Toggle Snap Flexed Audio Regions by First Downbeat		
	Snap Regions to Absolute/Relative Value		
	Snap Regions to Absolute Value		
	Snap Regions to Relative Value		
	Snap Mode: As Time Quantization		
	Shuffle Left	⌥[	⌘7⃣
	Shuffle Right	⌥]	⌘8⃣
	Bounce…	⌥⇧⌘S	
	Create Tempo Change		
	Create Time Signature Change		
	Create Key Signature Change		
	Open Articulation Editor		

- Various Editors
	Select Same Channels	⇧H	
	Select Same Articulation	⇧A	
	Trim Note to Remove Overlaps for Adjacent	\	
	Trim Note End to Following Notes (Force Legato)	⇧\	
	Select Highest Notes	⇧↑	
	Select Lowest Notes	⇧↓	
	Set MIDI Channel to Voice Number		
	Convert Sustain Pedal to Note Length		
	Trim Note to Remove Overlaps for Selected		
	Trim Note End to Selected (Force Legato)		⌘3⃣
	Trim Note to Remove Overlaps for Repeated		
	Event Channel +1		
	Event Channel -1		
	Event Channel =  1		
	Event Channel =  2		
	Event Channel =  3		
	Event Channel =  4		
	Event Channel =  5		
	Event Channel =  6		
	Event Channel =  7		
	Event Channel =  8		
	Event Channel =  9		
	Event Channel = 10		
	Event Channel = 11		
	Event Channel = 12		
	Event Channel = 13		
	Event Channel = 14		
	Event Channel = 15		
	Event Channel = 16		
	Set Next Articulation		
	Set Previous Articulation		
	Set No Articulation		
	Set Articulation  1		
	Set Articulation  2		
	Set Articulation  3		
	Set Articulation  4		
	Set Articulation  5		
	Set Articulation  6		
	Set Articulation  7		
	Set Articulation  8		
	Set Articulation  9		
	Set Articulation 10		
	Set Articulation 11		
	Set Articulation 12		
	Set Articulation 13		
	Set Articulation 14		
	Set Articulation 15		
	Set Articulation 16		
	Set Articulation 17		
	Set Articulation 18		
	Set Articulation 19		
	Set Articulation 20		
	Set Articulation 21		
	Set Articulation 22		
	Set Articulation 23		
	Set Articulation 24		
	Set Articulation 25		
	Set Articulation 26		
	Set Articulation 27		
	Set Articulation 28		
	Set Articulation 29		
	Set Articulation 30		
	Set Articulation 31		
	Set Articulation 32		
	Show Event Position and Length as Time or Bars/Beats	⌃⌥R	

- Views Showing Time Ruler
	Secondary Ruler		
	Show/Hide Background Grid Lines		
	Scroll in Play	⌃`	
	Show/Hide Global Tracks	G	
	Configure Global Tracks…	⌥G	
	Show/Hide Arrangement Track	⇧⌘A	
	Show/Hide Marker Track	⇧⌘K	
	Show/Hide Movie Track	⇧⌘O	
	Show/Hide Signature Track		
	Show/Hide Transposition Track	⇧⌘X	
	Show/Hide Tempo Track	⇧⌘T	
	Show/Hide Beat Mapping Track		
	Show/Hide Arrangement Track Only		
	Show/Hide Marker Track Only		
	Show/Hide Movie Track Only		
	Show/Hide Signature Track Only		
	Show/Hide Transposition Track Only		
	Show/Hide Tempo Track Only		
	Show/Hide Beat Mapping Track Only		
	Hide All Global Tracks		
	Show All Global Tracks		
	Tempo Track: Extend Left		
	Tempo Track: Replace By Average		
	Region Automation: Volume		
	Region Automation: Panorama		
	Region Automation: Balance		
	Region Automation: Modulation		
	Region Automation: Breath		
	Region Automation: Foot Control		
	Region Automation: Portamento Time		
	Region Automation: Expression		
	Region Automation: Sustain Pedal		
	Region Automation: Control Change 20		
	Region Automation: Control Change 21		
	Region Automation: Control Change 22		
	Region Automation: Control Change 23		
	Region Automation: Control Change 24		
	Region Automation: Control Change 25		
	Region Automation: Control Change 26		
	Region Automation: Control Change 27		
	Region Automation: Control Change 28		
	Region Automation: Control Change 29		
	Region Automation: Control Change 30		
	Region Automation: Control Change 31		
	Region Automation: Control Change 32		
	Region Automation: Surround Angle		
	Region Automation: Surround Elevation		
	Region Automation: Surround Diversity		
	Region Automation: Surround LFE		
	Region Automation: Aftertouch		
	Region Automation: Pitch Bend		
	Region Automation: Program Change		
	Region Automation: Note Velocity		

- Views Showing Automation
	Automation: Toggle Track/Region		
	Automation: Cycle Through Used Parameters	⇧A	
	Automation: Display Off	⇧⌘Y	
	Toggle Snap Automation		
	Snap Automation Mode: Automatic		
	Snap Automation Mode: Bar		
	Snap Automation Mode: 1/2 Note		
	Snap Automation Mode: 1/4 Note		
	Snap Automation Mode: 1/8 Note		
	Snap Automation Mode: 1/16 Note		
	Snap Automation Mode: 1/32 Note		
	Snap Automation Mode: 1/64 Note		
	Snap Automation Mode: 1/2 Triplet (1/3)		
	Snap Automation Mode: 1/4 Triplet (1/6)		
	Snap Automation Mode: 1/8 Triplet (1/12)		
	Snap Automation Mode: 1/16 Triplet (1/24)		
	Snap Automation Mode: 1/32 Triplet (1/48)		
	Snap Automation Mode: 1/64 Triplet (1/96)		
	Nudge Automation up 1 Step		
	Nudge Automation down 1 Step		
	Nudge Automation up 10 Steps		
	Nudge Automation down 10 Steps		

- Main Window Tracks
	Select All Tracks		
	Select Unused Tracks		
	Select Muted Tracks		
	Select Soloed Tracks		
	Select Frozen Tracks		
	Select Same-Colored Tracks		
	Select Instrument Tracks		
	Select MIDI Tracks		
	Select Audio Tracks		
	Select Aux Tracks		
	Select Sub/VCA Tracks		
	Select Summing Stack Tracks		
	Select Folder Stack Tracks		
	Select Folder Tracks		
	Extend Track Selection Up	⇧↑	
	Extend Track Selection Down	⇧↓	
	Extend Track Selection to Top		
	Extend Track Selection to Bottom		
	Select Previous Region/Cell on Focused Track	←	
	Select Next Region/Cell on Focused Track	→	
	Deselect All Regions/Cells except on Focused Track		
	Pack Folder	⌃⌥⇧F	
	Unpack Take Folder to Independent Tracks or Unpack Folder/Take Cell to New Tracks	⌃⇧⌘U	
	Unpack Take Folder to Independent Tracks (mute inactive) or Unpack Folder/Take Cell to Existing Tracks	⌃⌘U	
	Unpack Take Folder to Tracks with same channel		
	Unpack Take Folder to Track Alternatives		
	Create 1 Track Automation Point at Region Borders	⌃⇧⌘1	
	Create 2 Track Automation Points at Region Borders	⌃⇧⌘2	
	Create 1 Track Automation Point at Every Region Border	⌃⌘1	
	Create 2 Track Automation Points at Every Region Border	⌃⌘2	
	Delete Redundant Automation Points	⌃⌫	
	Delete Visible Automation on Selected Tracks	⌘⌫	
	Delete All Automation on Selected Tracks	⇧⌘⌫	
	Delete Orphaned Automation on Selected Tracks	⌃⇧⌫	
	Delete All Track Automation		
	Move Visible Region Data to Track Automation	⌃⌘↑	
	Move Visible Track Automation to Region	⌃⌘↓	
	Move All Region Data to Track Automation	⌃⇧⌘↑	
	Move All Track Automation to Region	⌃⇧⌘↓	
	Delete All Region Automation		
	Pack Take Folder	⌃⌥⌘F	
	Un/disclose Take Folder	⌥F	
	Flatten Take Folder/Cell	⌥⇧U	
	Flatten and Merge Take Folder/Cell	⌥U	
	Rename Take or Comp	⇧T	
	Delete Take or Comp	⌥⇧⌫	
	Export Active Take or Comp to New Track		
	Move Active Take or Comp to New Track		
	Toggle Take Folder Quick Swipe Comping Mode	⌥Q	
	Create New Comp		
	Select Previous Take or Comp		
	Select Next Take or Comp		
	Slice at Comp Section Borders		
	Trim to Active Comp Sections		
	New Tracks for Overlapped Regions		
	New Tracks for Selected Regions		
	Create Track Stack…	⌥⇧S	
	Create Folder Stack	⇧⌘H	
	Create Summing Stack	⇧⌘G	
	Flatten Stack	⌥⇧E	
	Bounce Regions/Cells in Place…	⇧B	
	Bounce Tracks in Place	⌃⌘B	
	Drum Replacement/Doubling	⌃D	
	Hide/Show Selected Tracks	⇧H	
	Hide/Show Unselected Tracks		
	Unhide All Tracks		
	Toggle Hide View	H	
	Hide/Show All Empty Tracks		
	Toggle Track On	/	
	Toggle Track On of all Tracks of Folder		
	Toggle Track On of all Tracks With Same Instrument of Project		
	Toggle Track Solo		
	Toggle Track Protect		
	Toggle Track Freeze	'	
	Toggle Track Record Enable		
	Individual Track Zoom In	⌃⌥⌘↓	
	Individual Track Zoom Out	⌃⌥⌘↑	
	Toggle Individual Track Zoom	⌃⌥⌘Z	
	Reset Individual Track Zoom	⌃⌥⌘⌫	
	Individual Track Zoom Reset for All Tracks	⌃⌥⇧⌘⌫	
	Make Alias	⇧⌘A	
	Make Alias but Copy Folder		
	Convert Alias to a Region Copy	⌃A	
	Reassign Alias		
	Find Original of Alias		
	Select All Aliases of Region	⌥⇧A	
	Select All Orphan Aliases		
	Delete All Orphan Aliases		
	Audio Crossfade Options for Merge…	⌥X	
	Apply Default Crossfade	⌃⌥X	
	Apply Last Edited Fade Again	⌥⇧X	
	Remove Fades		
	Remove Fade Ins		
	Remove Crossfades		
	Remove Fade Outs		
	Join Regions per Tracks / Fill Cell	J	
	Delete Section Between Locators (Selection)		
	Delete Section Between Locators (Global)		
	Cut Section Between Locators (Selection)		
	Cut Section Between Locators (Global)	⌃⌘X	
	Copy Section Between Locators (Global)		
	Copy Section Between Locators (Selection)		
	Insert Silence Between Locators (Selection)		
	Insert Silence Between Locators (Global)	⌃⌘Z	
	Insert Section at Playhead (Selection)		
	Insert Section at Playhead (Global)	⌃⌘V	
	Repeat Section Between Locators (Selection)		
	Repeat Section Between Locators (Global)		
	Cut Sections of Selected Arrangement Markers	⌥⌘⌫	
	Insert Scenes at Playhead	⌘↘	
	Copy Scenes to Playhead		
	Separate MIDI Region by MIDI Channel		
	Separate MIDI Region by Note Pitch		
	Separate MIDI Region by Articulation		
	Rename Track	⇧↩	
	Delete Track Name		
	Move Selected Regions to Focused Track	⇧⌘T	
	Copy Selected Regions to Focused Track		
	Adjust Tempo using Region Length and Locators		
	Move Selection with First Transient to Nearest Beat		
	Create Flex Marker At Playhead Position		
	Create Flex Marker At Previous Transient		
	Create Flex Marker At Next Transient		
	Move Region to Recorded Position	⌥⇧⌘R	
	Convert Regions to New Regions	⌥⌘R	
	Convert Regions to New Audio Files…	⌥⌘F	
	Convert Regions to New Sampler Track…	⌃E	
	Time Stretch Region Length to Locators	⌥⌘L	
	Time Stretch Region Length to Nearest Bar	⌥⌘B	
	Show Beat Mapping Track		
	Detect Tempo of Selected Region…	⌥⌘T	
	Normalize Region/Cell Gain…	⌃⌥G	
	Apply Normalize Region/Cell Gain Again	⌃G	
	Add Region/Cell to Loop Library…	⇧D	
	Copy as ReCycle Loop		
	Paste ReCycle Loop		
	Apply All Region/Cell Parameters Permanently	⌃N	
	Apply Region/Cell Parameters except Channel Permanently		
	Apply Region/Cell Parameters except Channel and Delay Permanently		
	Apply Quantization Permanently	⌃Q	
	Convert Loops to Regions	⌃L	
	Convert MIDI Loops to Aliases		
	Convert Repetitions to Loops		
	Reactivate Upbeat Event Playback		
	Set Region Start to Bar		
	Remove Overlaps	\	
	Trim Region End to Next Region	⇧\	
	Trim Region Start to Previous Region		
	Trim Regions to Fill within Locators	⌥\	
	Insert Instrument MIDI settings as Events		
	Crop Regions/Cells Outside Locators/Playable Range or Marquee Selection	⌘\	⌘3⃣
	Remove Groove Template from List		
	Make Groove Template		
	Advanced Quantization Parameters		
	Show/Hide Live Loops Grid		
	Show/Hide Tracks area		
	Switch between Live Loops Grid and Tracks View	⌥V	
	Show Live Loops Grid only	⌥L	
	Show Tracks View only	⌥N	
	Show Both, Live Loops Grid and Tracks View	⌥B	
	Copy to Live Loops Scene	⌘↖	
	Copy Cycle to Live Loops Scene		
	Show/Hide Flex Pitch/Time	⌘F	⌃4⃣
	Slice at Transient Markers		
	Slice at Flex Markers		
	Trim Region Start to Previous Transient	⌃⇧[	
	Trim Region Start to Next Transient	⌃⇧]	
	Trim Region End to Previous Transient	⌃[	
	Trim Region End to Next Transient	⌃]	
	Rename Regions/Cells/Scenes	⇧N	
	Name Regions/Cells by Track Name	⌥⇧N	
	Name Tracks by Region/Cell Name	⌥⇧⌘N	
	Color Regions/Cells by Track Color	⌥⇧C	
	Color Tracks by Region/Cell Color	⌥⇧⌘C	
	Drag Mode: Overlap		
	Drag Mode: No Overlap		
	Drag Mode: X-Fade		
	Drag Mode: Shuffle L		
	Drag Mode: Shuffle R		
	Waveform Vertical Zoom x 1 (Normal)		
	Waveform Vertical Zoom x 2		
	Waveform Vertical Zoom x 4		
	Waveform Vertical Zoom x 8		
	Waveform Vertical Zoom Out	⌘-	
	Waveform Vertical Zoom In	⌘=	
	Toggle Waveform Vertical Zoom		
	Show/Hide Toolbar	⌃⌥⌘T	
	Customize Toolbar…		
	Configure Track Header…		
	Assign Track Color…		
	Assign Track Icon…		
	Store Track Header Configuration as User Default		
	Apply Track Header Configuration User Default		
	Revert to Track Header Configuration Default		
	Marquee Ruler		
	Show/Hide Editor	E	
	Show/Hide Note Pad	⌥⌘P	
	Show/Hide List Editors		
	Show/Hide Browsers	F	
	Show/Hide Output Track		
	Toggle Alignment Guides	⌥⌘G	
	Create Volume Fade-Out on Main Output		
	Create 1 Track Automation Point each for Volume, Pan, Sends		
	Create 2 Track Automation Points each for Volume, Pan, Sends		
	Create 1 Track Automation Point for Visible Parameter	U	
	Create 2 Track Automation Points for Visible Parameter	⇧U	
	New Track Alternative		
	Duplicate Track Alternative	⌥⇧W	
	Delete Inactive Track Alternatives		
	Rename Track Alternative by Selected Region		
	Rename Track Alternative	⌃⌥⌘↩	
	Show/Hide Inactive Track Alternatives		
	Show/Hide All Inactive Track Alternatives	§	
	Trim Region start to Playhead Position		
	Trim Region end to Playhead Position		
	Apply Region Tempo to Project Tempo…		
	Apply Project Tempo to Region and Downbeat		
	Move Region to Beat		
	Write Project Tempo to Audio File		
	Show/Hide Smart Tempo Editor		
	Activate Next Track Alternative	⌃⌥↑	
	Activate Previous Track Alternative	⌃⌥↓	
	Set Region Anchor to Playhead		
	Set Region Anchor to Marquee Start		
	Set Region Anchor to Marquee End		
	Set Region Anchor to Region Start		

- Live Loops Grid
	Queue Cell/Scene Playback	⌥↩	
	Trigger Cells or Scene	↩	
	Trigger Focused Scene	⌥⌘↩	
	Retrigger Selected Cells or Focused Scene	⌃⌘↩	
	Insert Empty Scene	⌘⇟	
	Copy Playing Cells Here	⌘⇞	
	Select Playing Cells	⇧P	
	Select All Cells of Same Scene		
	Select Next Lower Cell, or Next Track	↓	
	Select Next Upper Cell, or Previous Track	↑	
	Extend Cell, or Track Selection Up	⇧↑	
	Extend Cell, or Track Selection Down	⇧↓	
	Select Previous Scene	⌥←	
	Select Next Scene	⌥→	
	Enable Performance Recording On/Off	⌃P	
	Unpack Take Cell to Existing Scenes	⌃⌥⌘U	
	Unpack Take Cell to New Scenes	⌃⌥⇧⌘U	
	Toggle Grid Horizontal Zoom	⌃⌥Z	

- Mixer
	Show/Hide MIDI Instruments		⇧5⃣
	Show/Hide Input Channel Strips		
	Show/Hide Audio Channel Strips		⇧1⃣
	Show/Hide Instrument Channel Strips		⇧2⃣
	Show/Hide Auxiliary Channel Strips		⇧3⃣
	Show/Hide Bus Channel Strips		
	Show/Hide Output Channel Strips		⇧4⃣
	Cycle Through Mixer Modes (Single, Tracks, All)	⇧X	
	Select Audio Channel Strips	⇧A	
	Select Instrument Channel Strips		
	Select Summing Stack Channel Strips		
	Select Auxiliary Channel Strips	⇧F	
	Select Output Channel Strips	⇧O	
	Select MIDI Channel Strips	⇧E	
	Select Same-Colored Channel Strips	⇧C	
	Select Channel Strips with Same Panner Type		
	Select Muted Channel Strips	⇧M	
	Select Previous (Left) Channel Strip	←	
	Select Next (Right) Channel Strip	→	
	Create New Auxiliary Channel Strip	⌃N	
	Create New VCA Fader		
	Create Tracks for Selected Channel Strips	⌃T	
	Create Track Stack for Selected Channel Strips		
	Flatten Track Stack for Selected Channel Strips		
	Send All MIDI Mixer Data		
	Toggle Link Control Surfaces		
	Autoscroll to Selection		
	Scroll to Audio		
	Scroll to Instruments		
	Scroll to Auxiliaries		
	Scroll to Buses		
	Scroll to Inputs		
	Scroll to Outputs		
	Scroll to Master/VCA		
	Scroll to MIDI Instruments		
	Show/Hide Signal Flow Channel Strips		
	Show/Hide Folder Tracks		
	Show/Hide Other Tracks		
	Show/Hide All Tracks with Same Channel Strip/Instrument		
	Show/Hide Instrument Name				
	Show/Hide Program		
	Show/Hide Bank		
	Show/Hide Assign 1		
	Show/Hide Assign 2		
	Show/Hide Assign 3		
	Show/Hide Assign 4		
	Show/Hide Assign 5		
	Show/Hide Audio Device Controls		
	Show/Hide Type and Number Label		
	Show/Hide Setting Menu		
	Show/Hide EQ Thumbnails		
	Show/Hide Gain Reduction Meter		
	Show/Hide MIDI Effects		
	Show/Hide Input / Instrument		
	Show/Hide Audio Effects		
	Show/Hide Sends		
	Show/Hide Output		
	Show/Hide Grouping		
	Show/Hide Automation Mode Menu		
	Show/Hide Track Icon		
	Show/Hide Pan Knob		
	Show/Hide VCA		
	Show/Hide Track Color		
	Show/Hide Track Stacks		
	Show/Hide Track Name		
	Show/Hide Track Number		
	Show/Hide Control Surface Bars		
	Configure Channel Strip Components…	⌥X	
	Store Channel Strip Configuration as User Default		
	Apply Channel Strip Configuration User Default		
	Revert to Channel Strip Configuration Default		
	Mixer Undo for selected Channel Strips		
	Mixer Redo for selected Channel Strips		
	Sends on Faders - On/Off		
	Sends on Faders - Next Send		
	Sends on Faders - Previous Send		
	Sends on Faders - Cycle Through Sends		
	Sends on Faders - Cycle Through Returns		

- MIDI Environment
	New MIDI Instrument		
	New Multi-Instrument		
	New Mapped Instrument		
	New Fader/Knobs/…		
	New Keyboard		
	New Monitor		
	New Arpeggiator		
	New Transformer		
	New Delay Line		
	New Voice Limiter		
	New Channel Splitter		
	New Chord Memorizer		
	New Audio Channel Strip		
	Clear Cables only	⌃⌫	
	Clean up Positions		
	Reset Sizes		
	Align Objects		
	Object move left	⌥←	
	Object move right	⌥→	
	Object move up	⌥↑	
	Object move down	⌥↓	
	Object Width -1 Pixel	⌥⇧←	
	Object Width +1 Pixel	⌥⇧→	
	Object Height -1 Pixel	⌥⇧↑	
	Object Height +1 Pixel	⌥⇧↓	
	Show/Hide Cables	⌃C	
	Protect Cabling/Positions	⌃P	
	Define Custom Bank Messages…	⇧I	
	Toggle Channel Display Default of Multi-Instrument		
	Select Used Instruments		
	Select Unused Instruments	⇧U	
	Select Cable Destination	⇧→	
	Select Cable Origin	⇧←	
	Select Next Object Above	↑	
	Select Next Object Below	↓	
	Select Next Object Left	←	
	Select Next Object Right	→	
	Go to Layer of Object		
	Go to Previous Layer		
	Send Selected Fader Values	⌃V	
	Delete Layer	⌘⌫	
	Create Layer		
	Cable serially	⌃S	
	Apply Buffer Template to Position and Size		
	Apply Buffer Template to Position		
	Apply Buffer Template to Size		
	Apply Buffer Template to Definition		
	Apply Buffer Template to Definition, channel increment		
	Apply Buffer Template to Definition, number increment		
	Apply Buffer Template to Cables		

- Piano Roll
	Include Non-Note MIDI Events		
	View Mode: One Track		
	View Mode: Selected Regions		
	Toggle View Mode		
	Toggle Time Handles	⌃T	⌃⌥⌘1⃣
	Set Note Color By Region Color		
	Set Note Color By Velocity		
	Set Note Color By MIDI Channel		
	Set Note Color By Articulation		
	Define Brush Pattern and Set Brush Tool	⌃⇧B	
	Reset Brush Pattern	⌃⇧⌫	
	Toggle Collapse Mode		

- Score Editor
	Linear Axis View		
	Wrapped View		
	Page View	⌃P	
	Change View		
	Explode Folders	⌃F	
	Explode Polyphony	⌃X	
	Show/Hide Instrument Names	⌃⇧N	⇧1⃣
	Show/Hide Page Rulers	⌃⇧R	⇧2⃣
	Color View: individual		
	Color View: Show Pitch		
	Color View: Show Velocity		
	Color View: Show Polyphony		
	Color View: Force Black and White		
	Toggle Duration Bar Display		
	Toggle Guide Line Display		
	Go to Page…	⌃/	
	Paste Multiple	⌥⇧⌘V	
	Paste Multiple at original Position		
	Diatonic Insert		
	Snap on/off		
	Next Staff	↓	
	Previous Staff	↑	
	Select All Regions and Events		
